time 	bus:  1	bus:  2	bus:  3	bus:  4	bus:  5	bus:  6	bus:  7	bus:  8	bus:  9	bus: 10	bus: 11	bus: 12	bus: 13	bus: 14
   1 	 0.000 	 17.497 	 1.899 	 4.670 	 6.128 	 9.031 	 0.000 	 0.000 	 9.211 	 0.181 	 1.808 	 0.123 	 0.272 	 0.300 
   2 	 0.000 	 17.190 	 1.866 	 8.374 	 6.020 	 8.872 	 0.000 	 0.000 	 9.505 	 0.178 	 2.098 	 0.121 	 0.267 	 0.295 
   3 	 0.000 	 16.838 	 1.827 	 12.610 	 5.897 	 8.691 	 0.000 	 0.000 	 9.838 	 0.175 	 2.428 	 0.118 	 0.262 	 0.289 
   4 	 0.000 	 16.648 	 1.807 	 14.894 	 5.831 	 8.593 	 0.000 	 0.000 	 10.016 	 0.173 	 2.606 	 0.117 	 0.259 	 0.286 
   5 	 0.000 	 16.524 	 1.793 	 16.444 	 5.787 	 8.529 	 0.000 	 0.000 	 10.133 	 0.171 	 2.665 	 0.118 	 0.257 	 0.284 
   6 	 0.000 	 16.452 	 1.785 	 17.253 	 5.762 	 8.491 	 0.000 	 0.000 	 10.265 	 0.171 	 2.654 	 0.193 	 0.256 	 0.282 
   7 	 0.000 	 16.409 	 1.781 	 17.738 	 5.747 	 8.469 	 0.000 	 0.000 	 10.344 	 0.170 	 2.647 	 0.238 	 0.255 	 0.282 
   8 	 0.000 	 16.401 	 1.780 	 17.822 	 5.744 	 8.465 	 0.000 	 0.000 	 10.358 	 0.170 	 2.645 	 0.246 	 0.255 	 0.282 
   9 	 0.000 	 16.427 	 1.783 	 17.526 	 5.753 	 8.479 	 0.000 	 0.000 	 10.310 	 0.170 	 2.650 	 0.219 	 0.255 	 0.282 
  10 	 0.000 	 16.590 	 1.800 	 15.599 	 5.810 	 8.562 	 0.000 	 0.000 	 10.071 	 0.172 	 2.661 	 0.117 	 0.258 	 0.285 
  11 	 0.000 	 16.778 	 1.821 	 13.331 	 5.876 	 8.660 	 0.000 	 0.000 	 9.895 	 0.174 	 2.485 	 0.118 	 0.261 	 0.288 
  12 	 0.000 	 16.967 	 1.841 	 11.054 	 5.942 	 8.757 	 0.000 	 0.000 	 9.717 	 0.176 	 2.307 	 0.119 	 0.264 	 0.291 
  13 	 0.000 	 17.039 	 1.849 	 10.185 	 5.968 	 8.794 	 0.000 	 0.000 	 9.648 	 0.177 	 2.239 	 0.120 	 0.265 	 0.292 
  14 	 0.000 	 17.205 	 1.867 	 8.195 	 6.026 	 8.880 	 0.000 	 0.000 	 9.491 	 0.178 	 2.084 	 0.121 	 0.268 	 0.295 
  15 	 0.000 	 17.891 	 1.942 	 0.985 	 6.266 	 9.234 	 0.000 	 0.000 	 7.944 	 0.186 	 1.271 	 0.126 	 0.278 	 0.307 
  16 	 0.000 	 18.364 	 1.993 	 1.011 	 6.432 	 9.478 	 0.000 	 0.000 	 2.507 	 0.190 	 0.074 	 0.129 	 0.286 	 0.315 
  17 	 0.000 	 19.198 	 2.083 	 1.057 	 6.425 	 0.248 	 0.000 	 0.000 	 0.652 	 0.199 	 0.077 	 0.135 	 0.299 	 0.330 
  18 	 0.000 	 19.459 	 2.136 	 1.084 	 0.172 	 0.254 	 0.000 	 0.000 	 0.669 	 0.204 	 0.079 	 0.138 	 0.306 	 0.338 
  19 	 0.000 	 13.999 	 2.182 	 1.107 	 0.176 	 0.259 	 0.000 	 0.000 	 0.683 	 0.208 	 0.081 	 0.141 	 0.313 	 0.345 
  20 	 0.000 	 11.063 	 2.206 	 1.119 	 0.178 	 0.262 	 0.000 	 0.000 	 0.691 	 0.211 	 0.082 	 0.143 	 0.316 	 0.349 
  21 	 0.000 	 7.479 	 2.236 	 1.135 	 0.180 	 0.266 	 0.000 	 0.000 	 0.700 	 0.214 	 0.083 	 0.145 	 0.320 	 0.354 
  22 	 0.000 	 4.689 	 2.259 	 1.147 	 0.182 	 0.269 	 0.000 	 0.000 	 0.708 	 0.216 	 0.084 	 0.146 	 0.324 	 0.357 
  23 	 0.000 	 3.139 	 2.272 	 1.153 	 0.183 	 0.270 	 0.000 	 0.000 	 0.712 	 0.217 	 0.084 	 0.147 	 0.326 	 0.359 
  24 	 0.000 	 2.978 	 2.274 	 1.154 	 0.183 	 0.270 	 0.000 	 0.000 	 0.712 	 0.217 	 0.084 	 0.147 	 0.326 	 0.360 
  25 	 0.000 	 4.418 	 2.262 	 1.148 	 0.182 	 0.269 	 0.000 	 0.000 	 0.708 	 0.216 	 0.084 	 0.146 	 0.324 	 0.358 
  26 	 0.000 	 6.920 	 2.241 	 1.137 	 0.181 	 0.266 	 0.000 	 0.000 	 0.702 	 0.214 	 0.083 	 0.145 	 0.321 	 0.354 
  27 	 0.000 	 8.488 	 2.228 	 1.130 	 0.180 	 0.265 	 0.000 	 0.000 	 0.698 	 0.213 	 0.083 	 0.144 	 0.319 	 0.352 
  28 	 0.000 	 6.886 	 2.241 	 1.137 	 0.181 	 0.266 	 0.000 	 0.000 	 0.702 	 0.214 	 0.083 	 0.145 	 0.321 	 0.354 
  29 	 0.000 	 3.954 	 2.266 	 1.150 	 0.183 	 0.269 	 0.000 	 0.000 	 0.710 	 0.216 	 0.084 	 0.147 	 0.325 	 0.358 
  30 	 0.000 	 2.929 	 2.274 	 1.154 	 0.183 	 0.270 	 0.000 	 0.000 	 0.712 	 0.217 	 0.084 	 0.147 	 0.326 	 0.360 
  31 	 0.000 	 3.867 	 2.266 	 1.150 	 0.183 	 0.269 	 0.000 	 0.000 	 0.710 	 0.217 	 0.084 	 0.147 	 0.325 	 0.358 
  32 	 0.000 	 4.371 	 2.262 	 1.148 	 0.183 	 0.269 	 0.000 	 0.000 	 0.708 	 0.216 	 0.084 	 0.146 	 0.324 	 0.358 
  33 	 0.000 	 6.410 	 2.245 	 1.139 	 0.181 	 0.267 	 0.000 	 0.000 	 0.703 	 0.215 	 0.083 	 0.145 	 0.322 	 0.355 
  34 	 0.000 	 10.474 	 2.211 	 1.122 	 0.178 	 0.263 	 0.000 	 0.000 	 0.692 	 0.211 	 0.082 	 0.143 	 0.317 	 0.350 
