bus t PEMmin PEMmax
 1  1   0.0000   0.0000
 1  2   0.0000   0.0000
 1  3   0.0000   0.0000
 1  4   0.0000   0.0000
 1  5   0.0000   0.0000
 1  6   0.0000   0.0000
 1  7   0.0000   0.0000
 1  8   0.0000   0.0000
 1  9   0.0000   0.0000
 1 10   0.0000   0.0000
 1 11   0.0000   0.0000
 1 12   0.0000   0.0000
 1 13   0.0000   0.0000
 1 14   0.0000   0.0000
 1 15   0.0000   0.0000
 1 16   0.0000   0.0000
 1 17   0.0000   0.0000
 1 18   0.0000   0.0000
 1 19   0.0000   0.0000
 1 20   0.0000   0.0000
 1 21   0.0000   0.0000
 1 22   0.0000   0.0000
 1 23   0.0000   0.0000
 1 24   0.0000   0.0000
 1 25   0.0000   0.0000
 1 26   0.0000   0.0000
 1 27   0.0000   0.0000
 1 28   0.0000   0.0000
 1 29   0.0000   0.0000
 1 30   0.0000   0.0000
 1 31   0.0000   0.0000
 1 32   0.0000   0.0000
 1 33   0.0000   0.0000
 1 34   0.0000   0.0000
 1 35   0.0000   0.0000
 1 36   0.0000   0.0000
 1 37   0.0000   0.0000
 1 38   0.0000   0.0000
 1 39   0.0000   0.0000
 1 40   0.0000   0.0000
 1 41   0.0000   0.0000
 1 42   0.0000   0.0000
 1 43   0.0000   0.0000
 1 44   0.0000   0.0000
 1 45   0.0000   0.0000
 1 46   0.0000   0.0000
 1 47   0.0000   0.0000
 1 48   0.0000   0.0000
 2  1   0.0485   0.1070
 2  2   0.0000   0.0093
 2  3   0.0079   0.0154
 2  4   0.0122   0.0076
 2  5   0.0000   0.0000
 2  6   0.0000   0.0000
 2  7   0.0000   0.0144
 2  8   0.0000   0.0000
 2  9   0.0162   0.0302
 2 10   0.0607   0.0206
 2 11   0.0629   0.0000
 2 12   0.1041   0.0472
 2 13   0.1359   0.1890
 2 14   0.2071   0.1924
 2 15   0.2104   0.2165
 2 16   0.2537   0.3290
 2 17   0.6683   0.6237
 2 18   0.1443   0.0681
 2 19   0.1223   0.1196
 2 20   0.0089   0.0531
 2 21   0.0547   0.0590
 2 22   0.3291   0.2859
 2 23  -0.6727  -0.6727
 2 24  -0.7420  -0.7420
 2 25   0.0000   0.0000
 2 26   0.0000   0.0000
 2 27   0.0207   0.0210
 2 28   0.1207   0.0263
 2 29   0.0441   0.0463
 2 30   0.0090   0.0093
 2 31   0.1228   0.2928
 2 32   0.2454   0.0076
 2 33   0.1916   0.1739
 2 34   0.3231   0.1236
 2 35   0.0903   0.1570
 2 36   0.1000   0.2116
 2 37   0.0571   0.2835
 2 38   0.1440   0.4611
 2 39   0.5801   0.4777
 2 40   0.1527   0.0503
 2 41   0.0650   0.2088
 2 42   0.1376   0.1936
 2 43   0.1528   0.0342
 2 44   0.1480   0.1470
 2 45   0.1606   0.2532
 2 46   0.3570   0.1693
 2 47   0.0347   0.0464
 2 48   0.1315   0.0085
 3  1   0.0699   0.1016
 3  2   0.0074   0.0235
 3  3   0.0064   0.0065
 3  4   0.1673   0.0953
 3  5   0.0078   0.0000
 3  6   0.0080   0.0000
 3  7   0.0127   0.0000
 3  8   0.0000   0.0000
 3  9   0.0109   0.0070
 3 10   0.0150   0.0383
 3 11   0.0413   0.0166
 3 12   0.1245   0.0363
 3 13   0.0686   0.0560
 3 14   0.1997   0.1301
 3 15   0.2680   0.2338
 3 16   0.2199   0.2664
 3 17   0.1543   0.2605
 3 18   0.3183   0.1123
 3 19   0.2603   0.2759
 3 20   0.0000   0.0000
 3 21   0.1799   0.1432
 3 22   0.3332   0.1727
 3 23  -0.6727  -0.6727
 3 24  -0.7420  -0.7420
 3 25   0.0000   0.0077
 3 26   0.0000   0.0901
 3 27   0.0000   0.0079
 3 28   0.1436   0.0247
 3 29   0.0420   0.1162
 3 30   0.0421   0.0556
 3 31   0.4414   0.0507
 3 32   0.2264   0.1840
 3 33   0.0617   0.0889
 3 34   0.0616   0.1426
 3 35   0.1780   0.3692
 3 36   0.3178   0.2664
 3 37   0.5096   0.4257
 3 38   0.1079   0.1900
 3 39   0.1250   0.0803
 3 40   0.0177   0.0537
 3 41   0.0516   0.2411
 3 42   0.0406   0.0691
 3 43   0.1987   0.0748
 3 44   0.0156   0.0627
 3 45   0.2920   0.1430
 3 46   0.0196   0.1717
 3 47   0.0461   0.1340
 3 48   0.0464   0.0000
 4  1   0.0443   0.0234
 4  2   0.0000   0.0178
 4  3   0.0099   0.0000
 4  4   0.0000   0.0000
 4  5   0.0000   0.0000
 4  6   0.0000   0.0000
 4  7   0.0000   0.0000
 4  8   0.0117   0.0020
 4  9   0.0224   0.0016
 4 10   0.0076   0.0093
 4 11   0.0845   0.0134
 4 12   0.1836   0.0578
 4 13   0.0832   0.0603
 4 14   0.3133   0.1239
 4 15   0.3113   0.2006
 4 16   0.3020   0.1213
