Maximum charge required by PS: 20.47401000 	 corresponding to sample 125
 EVs  From  To  Dist #EVs
    1   13    6 12.3750    7
    2   12   13 19.0500    7
    3   12   13 19.0500   13
    4    4    3 16.2750    7
    5    6   12 24.3750   13
    6   11   10 18.2750    7
    7    5    4 4.0000    7
    8    4    3 16.2750    7
    9    5    2 16.5750    7
   10   11    6 18.9500   13
   11    3    2 18.8500    7
   12   13   12 19.0500   13
   13    6   11 18.9500    7
   14    9   14 25.7500   13
   15    6   12 24.3750   13
   16    2    5 16.5750    7
   17    3    2 18.8500    7
   18   14   13 33.2500   13
   19    9   14 25.7500   13
   20    2    3 18.8500    7
   21    6   12 24.3750   13
   22   14   13 33.2500   13
   23    6   13 12.3750    7
   24   14   13 33.2500   13
   25   13   14 33.2500   13
   26    3    4 16.2750    7
   27    5    2 16.5750   13
   28    3    2 18.8500    7
   29    4    3 16.2750    7
   30   13    6 12.3750    7
   31   14    9 25.7500   13
   32    5    4 4.0000    7
   33   10    9 8.0500    7
   34   13   12 19.0500    7
   35   12   13 19.0500   13
   36   11   10 18.2750    7
   37   14    9 25.7500   13
   38    6   12 24.3750   13
   39   13   12 19.0500    7
   40    3    4 16.2750    7
   41    2    4 16.7500    7
   42   10   11 18.2750    7
   43    5    2 16.5750    7
   44   12    6 24.3750   13
   45    6   11 18.9500   13
   46   12   13 19.0500   13
   47    2    3 18.8500   13
   48    4    5 4.0000    7
   49    9   10 8.0500    7
   50    6   12 24.3750   13
   51    9   14 25.7500   13
   52    6   11 18.9500   13
   53   12    6 24.3750   13
   54   13    6 12.3750    7
   55   13   12 19.0500   13
   56    6   12 24.3750   13
   57    4    2 16.7500    7
   58    5    4 4.0000    7
   59   12   13 19.0500    7
   60   14    9 25.7500   13
   61   11   10 18.2750    7
   62    2    4 16.7500    7
   63    9   14 25.7500   13
   64   12   13 19.0500   13
   65    2    5 16.5750   13
   66   13   12 19.0500   13
   67    4    3 16.2750    7
   68   13   14 33.2500   13
   69   13    6 12.3750    7
   70    6   12 24.3750   13
   71   10    9 8.0500    7
   72   13   14 33.2500   13
   73    4    2 16.7500   13
   74    2    5 16.5750    7
   75    6   13 12.3750    7
   76   14   13 33.2500   13
   77   10   11 18.2750   13
   78   11   10 18.2750    7
   79    3    4 16.2750    7
   80   14   13 33.2500   13
   81    3    2 18.8500    7
   82   13    6 12.3750    7
   83    5    2 16.5750   13
   84    4    5 4.0000    7
   85    2    5 16.5750    7
   86    3    4 16.2750    7
   87    2    5 16.5750    7
   88    6   12 24.3750   13
   89    9   14 25.7500   13
   90   11    6 18.9500    7
   91    4    2 16.7500    7
   92   14   13 33.2500   13
   93   14    9 25.7500   13
   94    4    5 4.0000    7
   95   13   12 19.0500   13
   96    6   11 18.9500   13
   97   14   13 33.2500   13
   98    3    2 18.8500   13
   99    4    3 16.2750    7
  100    6   11 18.9500    7
  101    9   10 8.0500    7
  102    6   13 12.3750    7
  103   14   13 33.2500   13
  104    4    3 16.2750    7
  105    2    3 18.8500   13
  106    4    2 16.7500    7
  107    4    5 4.0000    7
  108    4    3 16.2750    7
  109   13   12 19.0500   13
  110   12    6 24.3750   13
  111    9   14 25.7500   13
  112    6   13 12.3750    7
  113    6   12 24.3750   13
  114   11   10 18.2750    7
  115    6   12 24.3750   13
  116    2    5 16.5750    7
  117    4    3 16.2750    7
  118   13    6 12.3750    7
  119    9   10 8.0500    7
  120    6   11 18.9500    7
  121    2    4 16.7500   13
  122   11    6 18.9500    7
  123    4    5 4.0000    7
  124    3    2 18.8500   13
  125    6   11 18.9500   13
  126   13    6 12.3750    7
  127    5    2 16.5750    7
  128   13   12 19.0500   13
  129   14    9 25.7500   13
  130    6   12 24.3750   13
  131    6   13 12.3750    7
  132   11   10 18.2750    7
  133    5    2 16.5750    7
  134    9   14 25.7500   13
  135   11   10 18.2750    7
  136    9   10 8.0500    7
  137    5    2 16.5750    7
  138   14   13 33.2500   13
  139   12    6 24.3750   13
  140   11    6 18.9500    7
  141   12   13 19.0500   13
  142   14   13 33.2500   13
  143   14   13 33.2500   13
  144    3    2 18.8500   13
  145    9   14 25.7500   13
  146   14   13 33.2500   13
  147   11    6 18.9500   13
  148   10   11 18.2750   13
  149    6   13 12.3750    7
  150   14   13 33.2500   13
  151    9   14 25.7500   13
  152    4    3 16.2750    7
  153   12    6 24.3750   13
  154   14   13 33.2500   13
  155   10   11 18.2750    7
  156   14    9 25.7500   13
  157    4    5 4.0000    7
  158   14    9 25.7500   13
  159    3    4 16.2750    7
  160   13   14 33.2500   13
  161    6   13 12.3750    7
  162    9   14 25.7500   13
  163    6   12 24.3750   13
  164    9   14 25.7500   13
  165   13    6 12.3750    7
  166   12   13 19.0500   13
  167    9   10 8.0500    7
  168   13   14 33.2500   13
  169    2    3 18.8500    7
  170   10   11 18.2750    7
  171    6   12 24.3750   13
  172    6   13 12.3750    7
  173   11   10 18.2750   13
  174   12   13 19.0500    7
  175   13   14 33.2500   13
  176    2    4 16.7500    7
  177   10   11 18.2750   13
  178    6   12 24.3750   13
  179    3    4 16.2750    7
  180   12   13 19.0500   13
  181    3    2 18.8500    7
  182   13    6 12.3750    7
  183   13   12 19.0500   13
  184   14   13 33.2500   13
  185    2    3 18.8500   13
  186    3    4 16.2750    7
  187    6   13 12.3750    7
  188    3    4 16.2750    7
  189   12    6 24.3750   13
  190   11    6 18.9500   13
  191    4    2 16.7500    7
  192    2    3 18.8500   13
  193    2    3 18.8500   13
  194   11   10 18.2750    7
  195    3    2 18.8500    7
  196   14   13 33.2500   13
  197   14   13 33.2500   13
  198    6   11 18.9500    7
  199    2    3 18.8500   13
  200    5    2 16.5750    7
