Minimum charge required by PS: 27.5256 	 corresponding to sample 79
EVs  From  To  Dist #Evs
   1    2    5 16.5750   13
   2   12    6 24.3750    7
   3    4    5 4.0000   13
   4   14    9 25.7500    7
   5    9   14 25.7500    7
   6   14    9 25.7500    7
   7    9   10 8.0500   13
   8    4    3 16.2750    7
   9   10   11 18.2750    7
  10    4    2 16.7500   13
  11    4    3 16.2750    7
  12   11    6 18.9500    7
  13    2    3 18.8500    7
  14   10    9 8.0500   13
  15   14    9 25.7500    7
  16    3    2 18.8500    7
  17    9   10 8.0500   13
  18    6   12 24.3750    7
  19    5    4 4.0000   13
  20   11   10 18.2750    7
  21    2    5 16.5750   10
  22    4    2 16.7500    7
  23   14    9 25.7500    7
  24   11    6 18.9500    7
  25   12   13 19.0500    7
  26    3    4 16.2750   13
  27    3    2 18.8500   13
  28    2    4 16.7500    7
  29   12   13 19.0500    7
  30   13   12 19.0500   13
  31    2    3 18.8500    7
  32    9   10 8.0500   13
  33    5    4 4.0000   13
  34    6   13 12.3750   13
  35   11   10 18.2750   13
  36    9   10 8.0500   13
  37    6   13 12.3750   13
  38   11   10 18.2750   13
  39    5    2 16.5750    7
  40    9   10 8.0500   13
  41   14    9 25.7500    7
  42    9   10 8.0500   13
  43    2    5 16.5750   13
  44    2    5 16.5750   13
  45    4    2 16.7500   13
  46   10    9 8.0500   13
  47   10    9 8.0500   13
  48   12   13 19.0500    7
  49   12   13 19.0500    7
  50    4    5 4.0000   13
  51    9   10 8.0500   13
  52    5    4 4.0000   13
  53    2    3 18.8500    7
  54   11    6 18.9500    7
  55    3    4 16.2750   13
  56   11   10 18.2750    7
  57    6   13 12.3750   13
  58    5    4 4.0000   13
  59   11   10 18.2750   13
  60    5    4 4.0000   13
  61    9   10 8.0500   13
  62   14    9 25.7500    7
  63   14    9 25.7500    7
  64    9   14 25.7500    7
  65    9   10 8.0500   13
  66    6   13 12.3750   13
  67    2    4 16.7500   13
  68    4    5 4.0000   13
  69    2    5 16.5750   13
  70    4    5 4.0000   13
  71    3    2 18.8500    7
  72   11   10 18.2750    7
  73    4    3 16.2750   13
  74    3    2 18.8500    7
  75    6   13 12.3750   13
  76    5    2 16.5750   13
  77    3    2 18.8500    7
  78    4    5 4.0000   13
  79   14    9 25.7500    7
  80   14   13 33.2500    7
  81   14   13 33.2500    7
  82    4    2 16.7500   13
  83    5    2 16.5750    7
  84    2    4 16.7500   13
  85    2    4 16.7500    7
  86    6   12 24.3750    7
  87    2    3 18.8500    7
  88    5    4 4.0000   13
  89    4    5 4.0000   13
  90    5    4 4.0000   13
  91   10    9 8.0500   13
  92    5    2 16.5750    7
  93    5    2 16.5750    7
  94    4    2 16.7500    7
  95   10   11 18.2750   13
  96    2    3 18.8500   13
  97   14   13 33.2500    7
  98    4    3 16.2750   13
  99   12    6 24.3750    7
 100   12   13 19.0500    7
 101    6   12 24.3750    7
 102    2    4 16.7500    7
 103    5    2 16.5750    7
 104   10    9 8.0500   13
 105    4    3 16.2750    7
 106   12    6 24.3750    7
 107    3    2 18.8500    7
 108    4    2 16.7500   13
 109    6   12 24.3750    7
 110    5    4 4.0000   13
 111   11    6 18.9500    7
 112    2    5 16.5750   13
 113    6   11 18.9500    7
 114    6   12 24.3750    7
 115    2    5 16.5750   13
 116   11    6 18.9500   13
 117   12   13 19.0500    7
 118    3    2 18.8500    7
 119   14    9 25.7500    7
 120   10   11 18.2750    7
 121    3    2 18.8500    7
 122   14   13 33.2500    7
 123    5    2 16.5750    7
 124    4    2 16.7500    7
 125    5    2 16.5750   13
 126   12   13 19.0500    7
 127    5    4 4.0000   13
 128    2    5 16.5750   13
