Maximum charge required by PS: 37.17054000 	 corresponding to sample 52
 EVs  From  To  Dist #EVs
    1    3    4 16.2750    7
    2   12    6 24.3750   13
    3    9   10 8.0500    7
    4    6   13 12.3750    7
    5   10    9 8.0500    7
    6   11   10 18.2750    7
    7    5    2 16.5750    7
    8   12    6 24.3750   13
    9   11    6 18.9500   13
   10   10   11 18.2750   13
   11    4    5 4.0000    7
   12   10   11 18.2750   13
   13    4    2 16.7500    7
   14    6   13 12.3750    7
   15   10   11 18.2750    7
   16    2    5 16.5750    7
   17   11   10 18.2750   13
   18    4    5 4.0000    7
   19    6   12 24.3750   13
   20    3    4 16.2750    7
   21   14    9 25.7500   13
   22   12    6 24.3750   13
   23    2    4 16.7500    7
   24    3    4 16.2750    7
   25    6   11 18.9500    7
   26    4    2 16.7500    7
   27   11   10 18.2750    7
   28    2    3 18.8500   13
   29    5    2 16.5750   13
   30   12   13 19.0500   13
   31   14    9 25.7500   13
   32    4    3 16.2750    7
   33    6   11 18.9500   13
   34   10   11 18.2750    7
   35    3    2 18.8500    7
   36    4    3 16.2750    7
   37   11   10 18.2750    7
   38    4    2 16.7500    7
   39   13   14 33.2500   13
   40    2    4 16.7500    7
   41    5    4 4.0000    7
   42   14    9 25.7500   13
   43    4    3 16.2750    7
   44   12   13 19.0500   13
   45   11    6 18.9500    7
   46    6   13 12.3750    7
   47   14   13 33.2500   13
   48   12    6 24.3750   13
   49    2    4 16.7500    7
   50    9   14 25.7500   13
   51    2    3 18.8500   13
   52   12   13 19.0500   13
   53   12   13 19.0500   13
   54    9   14 25.7500   13
   55    2    4 16.7500    7
   56    2    5 16.5750   13
   57    6   13 12.3750    7
   58    4    3 16.2750    7
   59    5    2 16.5750    7
   60    9   14 25.7500   13
   61   14    9 25.7500   13
   62    9   10 8.0500    7
   63    6   13 12.3750    7
   64    9   14 25.7500   13
   65   11    6 18.9500   13
   66    6   11 18.9500    7
   67    6   12 24.3750   13
   68    4    3 16.2750    7
   69   14    9 25.7500   13
   70    4    3 16.2750    7
   71    5    4 4.0000    7
   72   14    9 25.7500   13
   73    4    3 16.2750    7
   74    5    4 4.0000    7
   75   14   13 33.2500   13
   76   11   10 18.2750    7
   77   13   12 19.0500   13
   78    3    4 16.2750    7
   79   14   13 33.2500   13
   80    2    5 16.5750    7
   81    6   13 12.3750    7
   82    2    4 16.7500    7
   83    6   11 18.9500   13
   84   12    6 24.3750   13
   85   12   13 19.0500   13
   86   11   10 18.2750    7
   87    4    3 16.2750    7
   88   11    6 18.9500   13
   89    4    3 16.2750    7
   90   14    9 25.7500   13
   91    6   11 18.9500   13
   92   10    9 8.0500    7
   93   11   10 18.2750    7
   94    9   10 8.0500    7
   95    4    3 16.2750    7
   96    4    2 16.7500    7
   97    5    2 16.5750    7
   98   14   13 33.2500   13
   99   14   13 33.2500   13
  100    9   10 8.0500    7
  101    5    4 4.0000    7
  102   13   12 19.0500   13
  103    9   14 25.7500   13
  104   12   13 19.0500    7
  105   13    6 12.3750    7
  106   11   10 18.2750   13
  107    3    2 18.8500    7
  108   10   11 18.2750   13
  109   11   10 18.2750   13
  110   11    6 18.9500   13
  111   12    6 24.3750   13
  112    5    2 16.5750   13
  113   14    9 25.7500   13
  114    6   13 12.3750    7
  115    3    2 18.8500   13
  116    3    2 18.8500    7
  117    9   10 8.0500    7
  118   13   12 19.0500    7
  119    4    5 4.0000    7
  120    5    2 16.5750    7
  121   12    6 24.3750   13
  122   10    9 8.0500    7
  123   12   13 19.0500    7
  124   13   12 19.0500    7
  125    2    4 16.7500    7
  126   13    6 12.3750    7
  127   11   10 18.2750   13
  128   14   13 33.2500   13
  129   13   14 33.2500   13
  130   10   11 18.2750    7
  131    9   14 25.7500   13
  132   12    6 24.3750   13
  133    4    5 4.0000    7
  134    4    2 16.7500    7
  135   12   13 19.0500   13
  136    3    2 18.8500   13
  137    9   14 25.7500   13
  138    9   14 25.7500   13
  139    9   14 25.7500   13
  140   11   10 18.2750    7
  141   10    9 8.0500    7
  142    4    2 16.7500    7
  143    5    4 4.0000    7
  144    3    2 18.8500    7
