Minimum charge required by PS: 28.1678 	 corresponding to sample 41
EVs  From  To  Dist #Evs
   1   10    9 8.0500   13
   2    9   10 8.0500   13
   3    4    2 16.7500   13
   4   12    6 24.3750    7
   5   14    9 25.7500    7
   6   13    6 12.3750   13
   7    4    2 16.7500    7
   8   10    9 8.0500   13
   9    6   12 24.3750    7
  10   10    9 8.0500   13
  11   10   11 18.2750    7
  12    6   13 12.3750   13
  13    9   10 8.0500   13
  14    6   11 18.9500    7
  15    9   10 8.0500   13
  16    6   11 18.9500    7
  17    9   14 25.7500    7
  18    9   10 8.0500   13
  19    4    2 16.7500    7
  20   13   12 19.0500    7
  21    2    3 18.8500   13
  22    4    3 16.2750   13
  23   12    6 24.3750    7
  24   14    9 25.7500    7
  25    4    5 4.0000   13
  26    2    3 18.8500    7
  27    6   13 12.3750   13
  28    9   14 25.7500    7
  29    4    5 4.0000   13
  30   11    6 18.9500    7
  31   11    6 18.9500    7
  32   14    9 25.7500    7
  33    4    5 4.0000   13
  34   10   11 18.2750    7
  35    5    4 4.0000   13
  36   12   13 19.0500    7
  37   12    6 24.3750    7
  38    3    4 16.2750   10
  39    2    5 16.5750   13
  40   13   14 33.2500    7
  41   11   10 18.2750    7
  42    2    4 16.7500    7
  43    5    4 4.0000   13
  44   10    9 8.0500   13
  45   12   13 19.0500    7
  46   12   13 19.0500    7
  47    5    2 16.5750   13
  48    5    4 4.0000   13
  49    4    3 16.2750   13
  50   10   11 18.2750    7
  51    4    3 16.2750   13
  52   14    9 25.7500    7
  53    3    4 16.2750   13
  54    9   14 25.7500    7
  55   12   13 19.0500    7
  56    4    3 16.2750   13
  57    5    4 4.0000   13
  58    9   10 8.0500   13
  59   11    6 18.9500    7
  60    3    2 18.8500    7
  61    9   14 25.7500    7
  62   12   13 19.0500    7
  63    4    3 16.2750   13
  64    6   11 18.9500    7
  65    2    3 18.8500    7
  66   11   10 18.2750   13
  67    6   11 18.9500    7
  68   11    6 18.9500    7
  69   10    9 8.0500   13
  70   13   14 33.2500    7
  71    9   10 8.0500   13
  72    6   11 18.9500    7
  73   10    9 8.0500   13
  74    4    3 16.2750   13
  75   11    6 18.9500    7
  76    5    2 16.5750    7
  77   10   11 18.2750    7
  78   11    6 18.9500   13
  79    3    2 18.8500    7
  80    9   14 25.7500    7
  81    9   10 8.0500   13
  82    9   14 25.7500    7
  83   10    9 8.0500   13
  84    2    3 18.8500    7
  85    3    2 18.8500    7
  86   14   13 33.2500    7
  87    4    3 16.2750   13
  88    6   11 18.9500    7
  89    3    2 18.8500   13
  90    4    5 4.0000   13
  91    2    5 16.5750   13
  92   11    6 18.9500    7
  93    3    2 18.8500   13
  94   10    9 8.0500   13
  95    3    2 18.8500    7
  96   14    9 25.7500    7
  97   11   10 18.2750   13
  98    3    4 16.2750   13
  99   14   13 33.2500    7
 100    5    2 16.5750   13
 101   13    6 12.3750   13
 102   12    6 24.3750    7
 103    2    5 16.5750    7
 104   14   13 33.2500    7
 105    4    5 4.0000   13
 106   10    9 8.0500   13
 107    5    2 16.5750   13
 108   14    9 25.7500    7
 109    3    4 16.2750   13
 110    4    3 16.2750    7
 111    6   11 18.9500    7
 112    4    5 4.0000   13
 113   10   11 18.2750    7
 114    5    2 16.5750    7
 115    6   12 24.3750    7
 116   13    6 12.3750   13
 117    5    2 16.5750   13
 118   14    9 25.7500    7
 119    9   10 8.0500   13
 120    9   14 25.7500    7
 121    2    4 16.7500   13
 122   12   13 19.0500    7
 123   11   10 18.2750    7
 124    4    2 16.7500   13
 125    5    2 16.5750    7
 126    9   10 8.0500   13
 127    4    2 16.7500   13
 128   10    9 8.0500   13
 129    6   13 12.3750   13
 130    2    3 18.8500    7
 131   13    6 12.3750   13
 132    5    4 4.0000   13
 133   10   11 18.2750    7
 134    3    2 18.8500    7
 135   10    9 8.0500   13
 136   12   13 19.0500    7
 137   12   13 19.0500    7
 138   12   13 19.0500    7
 139   11   10 18.2750   13
 140    9   10 8.0500   13
 141   10    9 8.0500   13
 142    6   11 18.9500    7
 143    5    2 16.5750   13
 144   14   13 33.2500    7
 145    5    2 16.5750   13
 146    4    5 4.0000   13
 147   13    6 12.3750   13
 148    5    4 4.0000   13
 149   10   11 18.2750    7
 150    3    2 18.8500    7
 151    9   10 8.0500   13
 152   14   13 33.2500    7
 153    2    5 16.5750   13
 154    2    4 16.7500   13
 155    5    2 16.5750    7
 156   11   10 18.2750    7
 157   11   10 18.2750    7
 158    5    2 16.5750   13
 159   10    9 8.0500   13
 160   13   12 19.0500   13
 161    2    4 16.7500   13
 162    5    4 4.0000   13
 163    6   11 18.9500    7
 164    6   12 24.3750    7
 165   10   11 18.2750    7
 166   11    6 18.9500   13
 167    3    2 18.8500    7
 168    5    4 4.0000   13
 169   10    9 8.0500   13
 170    4    2 16.7500   13
 171   10   11 18.2750   13
 172   14   13 33.2500    7
 173    6   13 12.3750   13
 174   14    9 25.7500    7
 175    6   11 18.9500    7
 176   10    9 8.0500   13
 177    6   12 24.3750    7
 178    3    2 18.8500   13
 179    9   10 8.0500   13
 180    6   13 12.3750   13
 181   13   14 33.2500    7
 182    6   13 12.3750   13
 183    3    4 16.2750    7
 184    2    4 16.7500   13
 185    2    4 16.7500    7
 186    6   12 24.3750    7
 187    4    2 16.7500   13
 188   12    6 24.3750    7
 189    4    5 4.0000   13
 190    6   13 12.3750   13
 191    5    2 16.5750   13
 192    5    4 4.0000   13
 193   13   14 33.2500    7
 194    9   14 25.7500    7
 195   11    6 18.9500   13
 196    2    4 16.7500    7
 197    2    4 16.7500   13
 198    6   11 18.9500    7
 199   13   14 33.2500    7
 200   12   13 19.0500    7
 201    4    2 16.7500    7
 202    2    5 16.5750   13
 203   10    9 8.0500   13
 204   12   13 19.0500   13
 205   13   14 33.2500    7
 206    3    2 18.8500   13
 207    5    2 16.5750   13
 208   12    6 24.3750    7
 209    3    4 16.2750   13
 210   10   11 18.2750    7
 211    4    3 16.2750   13
 212   10   11 18.2750    7
 213    4    3 16.2750   13
 214   13   14 33.2500    7
 215   12    6 24.3750    7
 216    5    4 4.0000   13
 217    2    4 16.7500   13
 218   10    9 8.0500   13
 219   11   10 18.2750    7
 220   10    9 8.0500   13
 221    6   11 18.9500    7
 222    2    4 16.7500    7
 223    2    5 16.5750   13
 224   11    6 18.9500    7
 225   10    9 8.0500   13
 226    3    4 16.2750    7
 227    4    5 4.0000   13
 228    9   10 8.0500   13
 229    3    4 16.2750   13
 230   10    9 8.0500   13
 231    6   12 24.3750    7
 232    5    2 16.5750    7
 233   12   13 19.0500    7
 234    6   13 12.3750   13
 235   11    6 18.9500   13
 236    6   11 18.9500   13
 237    6   12 24.3750    7
 238   10    9 8.0500   13
 239   12    6 24.3750    7
 240    4    3 16.2750   13
 241    9   14 25.7500    7
 242    3    4 16.2750   13
 243   10    9 8.0500   13
 244    5    4 4.0000   13
 245   13    6 12.3750   13
 246    9   14 25.7500    7
 247    5    4 4.0000   13
 248    9   10 8.0500   13
 249   13   12 19.0500    7
 250   11   10 18.2750   13
 251    9   10 8.0500   13
 252   11    6 18.9500    7
 253    9   14 25.7500    7
 254   12    6 24.3750    7
 255   13   12 19.0500   13
 256    3    4 16.2750   13
 257   14   13 33.2500    7
 258   13    6 12.3750   13
 259    5    2 16.5750    7
 260    2    5 16.5750   13
 261   10    9 8.0500   13
 262   13   12 19.0500   13
 263    9   14 25.7500    7
 264   14    9 25.7500    7
 265    9   14 25.7500    7
 266    2    3 18.8500    7
 267    3    4 16.2750    7
 268    3    2 18.8500    7
 269    3    2 18.8500    7
 270    2    4 16.7500    7
 271    5    2 16.5750   13
 272    3    2 18.8500   13
 273    3    2 18.8500   13
 274   13   12 19.0500    7
 275    3    2 18.8500    7
 276   11    6 18.9500    7
 277    3    4 16.2750    7
 278    5    4 4.0000   13
 279   13    6 12.3750   13
 280   11    6 18.9500    7
 281    2    5 16.5750    7
 282    9   10 8.0500   13
 283   10   11 18.2750    7
 284   10    9 8.0500   13
 285   14    9 25.7500    7
 286   12   13 19.0500   13
 287   11   10 18.2750    7
 288    4    2 16.7500   13
 289   11    6 18.9500    7
 290   13   12 19.0500    7
 291    9   14 25.7500    7
 292    4    2 16.7500    7
 293    5    4 4.0000   13
 294    2    5 16.5750    7
 295   13    6 12.3750   13
 296    6   13 12.3750   13
 297    6   13 12.3750   13
 298   11    6 18.9500   13
 299    4    2 16.7500   13
 300    6   11 18.9500    7
 301    6   11 18.9500    7
 302    6   12 24.3750    7
